SourceRow;WorkerID;Prefix_ASC;ActualBlock2;CalcBlock2;Block2_OK;P12_Actual;P12_Calc;P12_Delta;P13_Actual;P13_Calc;P13_Delta;P14_Actual;P14_Calc;P14_Delta;P15_Actual;P15_Calc;P15_Delta;P16_Actual;P16_Calc;P16_Delta;P17_Actual;P17_Calc;P17_Delta;P18_Actual;P18_Calc;P18_Delta;P19_Actual;P19_Calc;P19_Delta;P20_Actual;P20_Calc;P20_Delta;P21_Actual;P21_Calc;P21_Delta;P22_Actual;P22_Calc;P22_Delta;;SOUHRN;
63;1AB0000101;37;1A1M22231L1M1L1M1N1L1M;1A1M22231L1M1L1M1N1L1M;PRAVDA;46;46;0;58;58;0;74;74;0;75;75;0;57;57;0;58;58;0;57;57;0;58;58;0;59;59;0;57;57;0;58;58;0;;;
64;1BA0000101;37;1A1M23221L1M1L1M1N1L1M;1A1M23221L1M1L1M1N1L1M;PRAVDA;46;46;0;58;58;0;75;75;0;74;74;0;57;57;0;58;58;0;57;57;0;58;58;0;59;59;0;57;57;0;58;58;0;;;
65;1J90000101;37;1A1M2B1U1L1M1L1M1N1L1M;1A1M2B1U1L1M1L1M1N1L1M;PRAVDA;46;46;0;58;58;0;83;83;0;66;66;0;57;57;0;58;58;0;57;57;0;58;58;0;59;59;0;57;57;0;58;58;0;;;
66;1K80000101;37;1A1M2C1T1L1M1L1M1N1L1M;1A1M2C1T1L1M1L1M1N1L1M;PRAVDA;46;46;0;58;58;0;84;84;0;65;65;0;57;57;0;58;58;0;57;57;0;58;58;0;59;59;0;57;57;0;58;58;0;;;
67;1O40000101;37;1A1M2G1P1L1M1L1M1N1L1M;1A1M2G1P1L1M1L1M1N1L1M;PRAVDA;46;46;0;58;58;0;88;88;0;61;61;0;57;57;0;58;58;0;57;57;0;58;58;0;59;59;0;57;57;0;58;58;0;;;
68;2I90000101;37;1A1N2A1U1L1M1L1M1N1L1M;1A1N2A1U1L1M1L1M1N1L1M;PRAVDA;46;46;0;59;59;0;82;82;0;66;66;0;57;57;0;58;58;0;57;57;0;58;58;0;59;59;0;57;57;0;58;58;0;;;
69;2J80000101;37;1A1N2B1T1L1M1L1M1N1L1M;1A1N2B1T1L1M1L1M1N1L1M;PRAVDA;46;46;0;59;59;0;83;83;0;65;65;0;57;57;0;58;58;0;57;57;0;58;58;0;59;59;0;57;57;0;58;58;0;;;
70;3L50000101;37;1A1O2D1Q1L1M1L1M1N1L1M;1A1O2D1Q1L1M1L1M1N1L1M;PRAVDA;46;46;0;60;60;0;85;85;0;62;62;0;57;57;0;58;58;0;57;57;0;58;58;0;59;59;0;57;57;0;58;58;0;;;
71;L800000101;37;1A2D1T1L1M1L1M1L1M1L1M;1A2D1T1L1M1L1M1L1M1L1M;PRAVDA;46;46;0;85;85;0;65;65;0;57;57;0;58;58;0;57;57;0;58;58;0;57;57;0;58;58;0;57;57;0;58;58;0;;;
72;M700000101;37;1A2E1S1L1M1L1M1L1M1L1M;1A2E1S1L1M1L1M1L1M1L1M;PRAVDA;46;46;0;86;86;0;64;64;0;57;57;0;58;58;0;57;57;0;58;58;0;57;57;0;58;58;0;57;57;0;58;58;0;;;
