SourceRow;WorkerID;Prefix;Prefix_ASCII;Blok2Raw;Blok2Decoded;TailRaw;TailDecoded;TailLen;W01;W02;W03;W04;W05;W06;W07;W08;W09;W10;W01_B36;W02_B36;W03_B36;W04_B36;W05_B36;W06_B36;W07_B36;W08_B36;W09_B36;W10_B36;W01_ASC;W02_ASC;W03_ASC;W04_ASC;W05_ASC;W06_ASC;W07_ASC;W08_ASC;W09_ASC;W10_ASC;P01;P02;P03;P04;P05;P06;P07;P08;P09;P10;P11;P12;P13;P14;P15;P16;P17;P18;P19;P20;P21;P22;P01_B36;P02_B36;P03_B36;P04_B36;P05_B36;P06_B36;P07_B36;P08_B36;P09_B36;P10_B36;P11_B36;P12_B36;P13_B36;P14_B36;P15_B36;P16_B36;P17_B36;P18_B36;P19_B36;P20_B36;P21_B36;P22_B36;P01_DEC;P02_DEC;P03_DEC;P04_DEC;P05_DEC;P06_DEC;P07_DEC;P08_DEC;P09_DEC;P10_DEC;P11_DEC;P12_DEC;P13_DEC;P14_DEC;P15_DEC;P16_DEC;P17_DEC;P18_DEC;P19_DEC;P20_DEC;P21_DEC;P22_DEC;T01;T02;T03;T04;T05;T06;T07;T08;T09;T10;T11;T01_B36;T02_B36;T03_B36;T04_B36;T05_B36;T06_B36;T07_B36;T08_B36;T09_B36;T10_B36;T11_B36;T01_DEC;T02_DEC;T03_DEC;T04_DEC;T05_DEC;T06_DEC;T07_DEC;T08_DEC;T09_DEC;T10_DEC;T11_DEC;BeforeDashTrailingChar;TailTrailingChar
12;M100000101;;31;0Y281G1F1G1F1G1F1G1F1G;AoSRSRSRSRS;1A0I0L0I0H0I660Q0;M14101ý9;17;M;1;0;0;0;0;0;1;0;1;22;1;0;0;0;0;0;1;0;1;77;49;48;48;48;48;48;49;48;49;00;1A;0I;0H;0H;0H;0H;0H;0I;0H;0I;0Y;28;1G;1F;1G;1F;1G;1F;1G;1F;1G;0;46;18;17;17;17;17;17;18;17;18;34;80;52;51;52;51;52;51;52;51;52;31;77;49;48;48;48;48;48;49;48;49;65;111;83;82;83;82;83;82;83;82;83;1A;0I;0L;0I;0H;0I;66;0Q;;;;46;18;21;18;17;18;222;26;;;;77;49;52;49;48;49;253;57;;;;0;0
13;VJ5SJ00101;;31;0Y2H251K2E251F1G1H1F1G;AxlWulRSTRS;1J170M1G170C0I0H0I630E0;VJ5SJ+101ú-;23;V;J;5;S;J;0;0;1;0;1;31;19;5;28;19;0;0;1;0;1;86;74;53;83;74;48;48;49;48;49;00;1J;17;0M;1G;17;0H;0H;0I;0H;0I;0Y;2H;25;1K;2E;25;1F;1G;1H;1F;1G;0;55;43;22;52;43;17;17;18;17;18;34;89;77;56;86;77;51;52;53;51;52;31;86;74;53;83;74;48;48;49;48;49;65;120;108;87;117;108;82;83;84;82;83;1J;17;0M;1G;17;0C;0I;0H;0I;63;0E;55;43;22;52;43;12;18;17;18;219;14;86;74;53;83;74;43;49;48;49;250;45;0;0
14;1E90000101; ;32;101H211P1G1H1G1H1I1G1H;CTh\STSTUST;0I120Q1Z0I0I0H6523;1E9f110üj;18;1;E;9;0;0;0;0;1;0;1;1;14;9;0;0;0;0;1;0;1;49;69;57;48;48;48;48;49;48;49;01;0I;12;0Q;0H;0H;0H;0H;0I;0H;0I;10;1H;21;1P;1G;1H;1G;1H;1I;1G;1H;1;18;38;26;17;17;17;17;18;17;18;36;53;73;61;52;53;52;53;54;52;53;32;49;69;57;48;48;48;48;49;48;49;67;84;104;92;83;84;83;84;85;83;84;0I;12;0Q;1Z;0I;0I;0H;65;23;;;18;38;26;71;18;18;17;221;75;;;49;69;57;102;49;49;48;252;106;;;0;
15;1L20000101; ;32;101H281I1G1H1G1H1I1G1H;CToUSTSTUST;0I190J1Z0I0I0H6523;1L2f110üj;18;1;L;2;0;0;0;0;1;0;1;1;21;2;0;0;0;0;1;0;1;49;76;50;48;48;48;48;49;48;49;01;0I;19;0J;0H;0H;0H;0H;0I;0H;0I;10;1H;28;1I;1G;1H;1G;1H;1I;1G;1H;1;18;45;19;17;17;17;17;18;17;18;36;53;80;54;52;53;52;53;54;52;53;32;49;76;50;48;48;48;48;49;48;49;67;84;111;85;83;84;83;84;85;83;84;0I;19;0J;1Z;0I;0I;0H;65;23;;;18;45;19;71;18;18;17;221;75;;;49;76;50;102;49;49;48;252;106;;;0;
16;2H50000101; ;32;101I241L1G1H1G1H1I1G1H;CUkXSTSTUST;0J150M1Z0I0I0H6523;2H5f110üj;18;2;H;5;0;0;0;0;1;0;1;2;17;5;0;0;0;0;1;0;1;50;72;53;48;48;48;48;49;48;49;01;0J;15;0M;0H;0H;0H;0H;0I;0H;0I;10;1I;24;1L;1G;1H;1G;1H;1I;1G;1H;1;19;41;22;17;17;17;17;18;17;18;36;54;76;57;52;53;52;53;54;52;53;32;50;72;53;48;48;48;48;49;48;49;67;85;107;88;83;84;83;84;85;83;84;0J;15;0M;1Z;0I;0I;0H;65;23;;;19;41;22;71;18;18;17;221;75;;;50;72;53;102;49;49;48;252;106;;;0;
17;38D0000101; ;32;101J1O201G1H1G1H1I1G1H;CV[gSTSTUST;0K0P111Z0I0I0H6523;38Df110üj;18;3;8;D;0;0;0;0;1;0;1;3;8;13;0;0;0;0;1;0;1;51;56;68;48;48;48;48;49;48;49;01;0K;0P;11;0H;0H;0H;0H;0I;0H;0I;10;1J;1O;20;1G;1H;1G;1H;1I;1G;1H;1;20;25;37;17;17;17;17;18;17;18;36;55;60;72;52;53;52;53;54;52;53;32;51;56;68;48;48;48;48;49;48;49;67;86;91;103;83;84;83;84;85;83;84;0K;0P;11;1Z;0I;0I;0H;65;23;;;20;25;37;71;18;18;17;221;75;;;51;56;68;102;49;49;48;252;106;;;0;
18;3F60000101; ;32;101J221M1G1H1G1H1I1G1H;CViYSTSTUST;0K130N1Z0I0I0H6523;3F6f110üj;18;3;F;6;0;0;0;0;1;0;1;3;15;6;0;0;0;0;1;0;1;51;70;54;48;48;48;48;49;48;49;01;0K;13;0N;0H;0H;0H;0H;0I;0H;0I;10;1J;22;1M;1G;1H;1G;1H;1I;1G;1H;1;20;39;23;17;17;17;17;18;17;18;36;55;74;58;52;53;52;53;54;52;53;32;51;70;54;48;48;48;48;49;48;49;67;86;105;89;83;84;83;84;85;83;84;0K;13;0N;1Z;0I;0I;0H;65;23;;;20;39;23;71;18;18;17;221;75;;;51;70;54;102;49;49;48;252;106;;;0;
19;4J10000101; ;32;101K261H1G1H1G1H1I1G1H;CWmTSTSTUST;0L170I1Z0I0I0H6523;4J1f110üj;18;4;J;1;0;0;0;0;1;0;1;4;19;1;0;0;0;0;1;0;1;52;74;49;48;48;48;48;49;48;49;01;0L;17;0I;0H;0H;0H;0H;0I;0H;0I;10;1K;26;1H;1G;1H;1G;1H;1I;1G;1H;1;21;43;18;17;17;17;17;18;17;18;36;56;78;53;52;53;52;53;54;52;53;32;52;74;49;48;48;48;48;49;48;49;67;87;109;84;83;84;83;84;85;83;84;0L;17;0I;1Z;0I;0I;0H;65;23;;;21;43;18;71;18;18;17;221;75;;;52;74;49;102;49;49;48;252;106;;;0;
20;FBPQJ00101; ;32;10221Y2C2D261G1H1I1G1H;CiestmSTUST;130Z1D1E170D0I0I0H630F0;FBPQJ,110ú.;23;F;B;P;Q;J;0;0;1;0;1;15;11;25;26;19;0;0;1;0;1;70;66;80;81;74;48;48;49;48;49;01;13;0Z;1D;1E;17;0H;0H;0I;0H;0I;10;22;1Y;2C;2D;26;1G;1H;1I;1G;1H;1;39;35;49;50;43;17;17;18;17;18;36;74;70;84;85;78;52;53;54;52;53;32;70;66;80;81;74;48;48;49;48;49;67;105;101;115;116;109;83;84;85;83;84;13;0Z;1D;1E;17;0D;0I;0I;0H;63;0F;39;35;49;50;43;13;18;18;17;219;15;70;66;80;81;74;44;49;49;48;250;46;0;0
21;H700000101; ;32;10241N1G1H1G1H1G1H1G1H;CkZSTSTSTST;150O0M0I0I0H660R0;H75110ý:;17;H;7;0;0;0;0;0;1;0;1;17;7;0;0;0;0;0;1;0;1;72;55;48;48;48;48;48;49;48;49;01;15;0O;0H;0H;0H;0H;0H;0I;0H;0I;10;24;1N;1G;1H;1G;1H;1G;1H;1G;1H;1;41;24;17;17;17;17;17;18;17;18;36;76;59;52;53;52;53;52;53;52;53;32;72;55;48;48;48;48;48;49;48;49;67;107;90;83;84;83;84;83;84;83;84;15;0O;0M;0I;0I;0H;66;0R;;;;41;24;22;18;18;17;222;27;;;;72;55;53;49;49;48;253;58;;;;0;0
22;IKJKJ00101; ;32;1025272627261G1H1I1G1H;ClnmnmSTUST;16181718170D0I0I0H630F0;IKJKJ,110ú.;23;I;K;J;K;J;0;0;1;0;1;18;20;19;20;19;0;0;1;0;1;73;75;74;75;74;48;48;49;48;49;01;16;18;17;18;17;0H;0H;0I;0H;0I;10;25;27;26;27;26;1G;1H;1I;1G;1H;1;42;44;43;44;43;17;17;18;17;18;36;77;79;78;79;78;52;53;54;52;53;32;73;75;74;75;74;48;48;49;48;49;67;108;110;109;110;109;83;84;85;83;84;16;18;17;18;17;0D;0I;0I;0H;63;0F;42;44;43;44;43;13;18;18;17;219;15;73;75;74;75;74;44;49;49;48;250;46;0;0
23;N100000101; ;32;102A1H1G1H1G1H1G1H1G1H;CqTSTSTSTST;1B0I0M0I0I0H660R0;N15110ý:;17;N;1;0;0;0;0;0;1;0;1;23;1;0;0;0;0;0;1;0;1;78;49;48;48;48;48;48;49;48;49;01;1B;0I;0H;0H;0H;0H;0H;0I;0H;0I;10;2A;1H;1G;1H;1G;1H;1G;1H;1G;1H;1;47;18;17;17;17;17;17;18;17;18;36;82;53;52;53;52;53;52;53;52;53;32;78;49;48;48;48;48;48;49;48;49;67;113;84;83;84;83;84;83;84;83;84;1B;0I;0M;0I;0I;0H;66;0R;;;;47;18;22;18;18;17;222;27;;;;78;49;53;49;49;48;253;58;;;;0;0
